OID	Arrival	Duration	TimeOut
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
103	6	7	15
104	11	9	22
112	5	6	13
101	3	9	12
106	6	9	17
108	6	8	18
105	10	6	20
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
103	6	7	15
104	11	9	22
112	5	6	13
101	3	9	12
106	6	9	17
108	6	8	18
105	10	6	20
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
103	6	7	15
104	11	9	22
112	5	6	13
101	3	9	12
106	6	9	17
108	6	8	18
105	10	6	20
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
21	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
21	50	100	150
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
22	50	10	160
23	50	100	150
54	50	10	160
55	150	1	151
10	160	1	161
11	160	1	161
12	160	1	161
13	160	1	161
14	160	1	162
15	160	1	161
16	160	1	161
66	160	1	161
67	160	1	161
68	160	1	161
69	160	1	161
24	161	2	163
120	1	500	502
121	1	10	11
111	6	4	508
115	6	9	509
116	6	6	507
119	6	450	500
122	250	1	251
135	501	7	515
142	501	80	610
132	600	7	607
101	601	6	608
102	601	5	608
131	2	95	446
103	601	1	608
104	601	3	608
105	601	2	608
106	601	1	608
107	603	3	612
117	45	8	53
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
108	604	3	615
206	97	8	189
370	501	82	583
272	1	5	94
298	6	85	106
231	600	87	687
274	50	98	408
205	601	8	609
267	30	51	131
25	161	2	163
32	165	2	167
33	165	4	169
34	165	1	168
35	167	2	171
45	173	4	177
46	173	3	176
47	173	3	179
48	173	1	174
49	176	1	177
